Date,Volume,Open,High,Low,Close,Adj Close
25-03-21,28378000,102.24,102.94,100.54,102.22,102.22
26-03-21,29870000,101.94,102.55,100.70,101.78,101.78
29-03-21,24596000,101.39,102.92,100.78,102.80,102.80
30-03-21,20732000,102.88,103.54,102.20,102.78,102.78
31-03-21,29198000,102.96,104.67,102.84,103.43,103.43
01-04-21,33980000,104.90,107.15,104.84,106.89,106.89
05-04-21,43298000,107.65,111.87,107.58,111.28,111.28
06-04-21,27060000,111.13,111.88,110.74,111.24,111.24
07-04-21,25798000,111.31,112.75,111.27,112.48,112.48
08-04-21,27166000,113.90,114.20,112.88,113.27,113.27
09-04-21,20888000,112.83,114.45,112.69,114.29,114.29
12-04-21,31318000,113.31,113.77,111.92,112.74,112.74
13-04-21,23310000,113.07,113.86,112.80,113.36,113.36
14-04-21,20220000,113.76,113.90,112.46,112.74,112.74
15-04-21,27472000,113.85,115.33,113.30,114.83,114.83
16-04-21,22596000,115.15,115.32,114.22,114.89,114.89
19-04-21,24688000,114.60,115.92,114.39,115.12,115.12
20-04-21,21774000,115.39,115.48,113.59,114.68,114.68
21-04-21,23930000,114.26,114.77,112.93,114.66,114.66
22-04-21,21096000,114.66,115.19,112.82,113.40,113.40
23-04-21,28670000,114.17,116.29,113.91,115.76,115.76
26-04-21,20834000,116.00,117.06,115.69,116.34,116.34
27-04-21,31972000,116.80,116.87,115.21,115.36,115.36
28-04-21,59728000,120.36,122.62,118.74,119.00,119.00
29-04-21,39554000,120.52,121.83,120.11,121.49,121.49
30-04-21,39142000,120.22,121.36,120.11,120.51,120.51
03-05-21,33788000,120.14,120.99,119.22,119.76,119.76
04-05-21,35120000,118.49,118.96,115.58,117.71,117.71
05-05-21,21806000,118.42,119.11,117.57,117.84,117.84
06-05-21,20618000,117.53,119.14,117.12,119.07,119.07
07-05-21,23272000,120.00,120.82,119.50,119.93,119.93
10-05-21,26006000,118.74,118.90,116.74,117.08,117.08
11-05-21,32110000,114.59,116.10,114.15,115.44,115.44
12-05-21,34934000,113.09,114.27,111.50,111.95,111.95
13-05-21,26670000,113.05,113.83,112.14,113.10,113.10
14-05-21,26624000,114.59,116.06,114.17,115.81,115.81
17-05-21,19842000,115.47,116.17,114.75,116.07,116.07
18-05-21,17302000,116.85,117.16,115.16,115.17,115.17
19-05-21,19350000,113.22,115.84,113.18,115.44,115.44
20-05-21,23832000,116.40,118.02,116.05,117.80,117.80
21-05-21,22832000,118.30,118.45,117.12,117.25,117.25
24-05-21,21244000,118.35,120.92,118.01,120.33,120.33
25-05-21,18838000,121.00,121.64,120.15,120.45,120.45
26-05-21,21856000,120.64,122.15,120.63,121.68,121.68
27-05-21,38962000,121.85,122.00,120.10,120.13,120.13
28-05-21,24108000,121.10,121.41,120.38,120.58,120.58
01-06-21,19166000,121.10,121.90,120.24,121.49,121.49
02-06-21,17158000,121.77,122.10,120.21,121.06,121.06
03-06-21,18346000,119.75,120.49,119.14,120.23,120.23
04-06-21,25948000,121.13,122.69,120.89,122.59,122.59
07-06-21,23850000,122.57,123.40,122.05,123.30,123.30
08-06-21,25060000,124.00,124.72,123.41,124.14,124.14
09-06-21,20126000,124.97,125.25,124.37,124.57,124.57
10-06-21,31234000,124.70,126.16,124.70,126.08,126.08
11-06-21,25240000,126.25,126.35,124.91,125.70,125.70
14-06-21,22550000,125.67,126.41,125.05,126.35,126.35
15-06-21,22182000,126.52,126.86,125.65,126.03,126.03
16-06-21,26316000,126.25,126.52,124.15,125.70,125.70
17-06-21,25756000,125.52,127.20,125.51,126.37,126.37
18-06-21,53306000,125.71,126.39,124.60,125.57,125.57
21-06-21,26256000,125.74,127.04,125.13,126.46,126.46
22-06-21,20984000,126.45,127.27,126.03,127.00,127.00
23-06-21,19694000,126.55,127.80,126.25,126.46,126.46
24-06-21,18934000,127.05,127.54,126.96,127.28,127.28
25-06-21,33484000,126.96,127.50,126.44,127.00,127.00
28-06-21,28110000,127.00,127.34,125.97,126.82,126.82
29-06-21,20950000,126.77,127.00,125.44,126.02,126.02
30-06-21,24006000,125.65,125.80,124.76,125.32,125.32
01-07-21,17120000,124.85,126.46,124.85,126.37,126.37
02-07-21,21160000,126.84,128.85,126.77,128.72,128.72
06-07-21,21350000,129.45,129.88,128.41,129.77,129.77
07-07-21,16680000,130.34,130.64,129.76,130.08,130.08
08-07-21,19780000,128.25,130.03,128.04,129.18,129.18
09-07-21,15106000,128.94,129.85,128.94,129.57,129.57
12-07-21,16944000,129.83,130.77,129.60,130.56,130.56
13-07-21,16618000,130.88,132.04,130.64,130.99,130.99
14-07-21,17912000,131.90,133.00,131.90,132.08,132.08
15-07-21,16586000,132.50,132.60,130.60,131.27,131.27
16-07-21,14856000,131.64,132.18,130.82,131.85,131.85
19-07-21,25710000,131.16,131.25,128.54,129.25,129.25
20-07-21,19084000,130.00,132.00,129.19,131.10,131.10
21-07-21,14742000,130.79,132.62,130.60,132.60,132.60
22-07-21,13608000,132.65,133.50,132.40,133.33,133.33
23-07-21,26378000,135.26,138.81,134.70,137.82,137.82
26-07-21,23052000,138.25,139.71,137.65,139.64,139.64
27-07-21,42164000,140.01,140.01,135.10,136.80,136.80
28-07-21,54688000,138.56,139.68,136.35,136.38,136.38
29-07-21,19284000,136.38,137.15,136.14,136.54,136.54
30-07-21,23954000,135.51,135.77,134.81,135.22,135.22
02-08-21,20140000,135.48,136.02,134.67,135.99,135.99
03-08-21,19064000,136.00,136.34,134.18,136.28,136.28
04-08-21,16528000,136.25,136.54,135.41,136.03,136.03
05-08-21,11866000,136.03,136.95,135.60,136.94,136.94
06-08-21,13560000,136.29,137.08,136.05,137.04,137.04
09-08-21,12374000,136.95,138.32,136.43,138.00,138.00
10-08-21,16034000,138.08,138.55,137.23,138.10,138.10
11-08-21,15204000,138.28,138.85,137.35,137.69,137.69
12-08-21,14646000,137.71,138.42,136.78,138.39,138.39
13-08-21,12580000,138.36,138.67,138.01,138.41,138.41
16-08-21,18040000,138.00,138.99,136.17,138.92,138.92
17-08-21,21272000,138.19,138.72,136.79,137.30,137.30
18-08-21,14934000,137.12,138.29,136.42,136.57,136.57
19-08-21,18296000,135.47,137.45,135.36,136.91,136.91
20-08-21,15564000,137.08,138.61,136.47,138.44,138.44
23-08-21,21090000,139.00,142.18,138.75,141.10,141.10
24-08-21,15126000,141.54,143.01,141.35,142.40,142.40
25-08-21,12838000,142.88,143.31,142.44,142.95,142.95
26-08-21,14922000,142.62,143.13,142.09,142.12,142.12
27-08-21,24562000,142.11,145.01,142.02,144.55,144.55
30-08-21,16916000,144.70,146.49,144.60,145.47,145.47
31-08-21,26756000,145.88,146.11,145.00,145.46,145.46
01-09-21,15824000,145.65,146.82,145.61,145.84,145.84
02-09-21,21844000,145.95,146.32,144.11,144.22,144.22
03-09-21,19104000,144.15,145.38,143.51,144.77,144.77
07-09-21,15170000,144.75,145.82,144.54,145.52,145.52
